epoch,mAP@50,mAP
472,0.520,0.362
473,0.521,0.362
474,0.521,0.362
475,0.521,0.362
476,0.521,0.362
477,0.521,0.362
478,0.521,0.362
479,0.521,0.362
480,0.521,0.363
481,0.522,0.363
482,0.522,0.363
483,0.522,0.363
484,0.523,0.364
485,0.523,0.364
486,0.523,0.363
487,0.523,0.364
488,0.523,0.364
489,0.523,0.364
490,0.523,0.363
491,0.523,0.364
492,0.524,0.365
493,0.524,0.365
494,0.524,0.365
495,0.525,0.366
496,0.525,0.366
497,0.526,0.367
498,0.526,0.367
499,0.527,0.367
500,0.527,0.368
